date,dailyDoublingRate,numberOfDoublingDays
2021-02-08T00:00:00.000Z,-2.37383506242308,-28.85150548918277
2021-02-09T00:00:00.000Z,-4.176422910662825,-16.24763351560843
2021-02-10T00:00:00.000Z,-4.215126524282786,-16.09521827979493
2021-02-11T00:00:00.000Z,-5.4946402727696455,-12.26513147330851
2021-02-12T00:00:00.000Z,-4.962753393723896,-13.61747455541472
2021-02-13T00:00:00.000Z,-2.100232145295633,-32.65556058577549
2021-02-14T00:00:00.000Z,-3.1049489482787522,-21.97555225727689
2021-02-15T00:00:00.000Z,-7.638269081277171,-8.723500281119916
2021-02-16T00:00:00.000Z,-4.975062344139647,-13.58291093183435
2021-02-17T00:00:00.000Z,-4.946857367799507,-13.66236515426792
2021-02-18T00:00:00.000Z,-5.787548315847602,-11.62650811913232
2021-02-19T00:00:00.000Z,-3.2235613026118095,-21.15406204433242
2021-02-20T00:00:00.000Z,-2.396002876717518,-28.5813389580647
2021-02-21T00:00:00.000Z,-1.458155588303733,-47.18846411264023
2021-02-22T00:00:00.000Z,-1.511216056670595,-45.51939542609908
2021-02-23T00:00:00.000Z,-0.4874930072724437,-141.839220697289
2021-02-24T00:00:00.000Z,0.8231609380019211,84.55164827858025
2021-02-25T00:00:00.000Z,1.919630411406259,36.45384158343088
2021-02-26T00:00:00.000Z,0.08206009925364466,845.0288832434977
2021-02-27T00:00:00.000Z,0.7145088239887576,97.35646610390756
2021-02-28T00:00:00.000Z,-0.1899592944369033,-364.5457966325071
2021-03-01T00:00:00.000Z,0.1786685310339431,388.2979337554453
2021-03-02T00:00:00.000Z,-0.2675248138957809,-258.749678645322
2021-03-03T00:00:00.000Z,1.1584962873692821,60.17753553147646
2021-03-04T00:00:00.000Z,-0.5995157757196057,-115.2709174414564
2021-03-05T00:00:00.000Z,-0.3827566209163025,-180.7466576763099
2021-03-06T00:00:00.000Z,1.676628114569589,41.68734986521804
2021-03-07T00:00:00.000Z,-2.725398885411101,-25.08470124686013
2021-03-08T00:00:00.000Z,-4.198712917909275,-16.15951214447112
2021-03-09T00:00:00.000Z,-5.148685180634061,-13.11297888155108
2021-03-10T00:00:00.000Z,-7.932806494796396,-8.386382406533563
2021-03-11T00:00:00.000Z,-5.206378986866788,-12.96375964226332
2021-03-12T00:00:00.000Z,-6.43245917862445,-10.42535898021731
2021-03-13T00:00:00.000Z,-5.753569539925973,-11.69725854305678
2021-03-14T00:00:00.000Z,-5.35854561777579,-12.58560560076198
2021-03-15T00:00:00.000Z,-9.841702733147562,-6.690403060838323
2021-03-16T00:00:00.000Z,-10.23212994015914,-6.421414418716599
2021-03-17T00:00:00.000Z,-9.545088271921465,-6.909453286302899
2021-03-18T00:00:00.000Z,-10.5361192095886,-6.22576800585867
2021-03-19T00:00:00.000Z,-12.03041549742012,-5.40764747573169
2021-03-20T00:00:00.000Z,-4.45564931055773,-15.20738563599442
2021-03-21T00:00:00.000Z,-7.700592353257941,-8.650017253598898
2021-03-22T00:00:00.000Z,-13.36056009334888,-4.833155171709223
2021-03-23T00:00:00.000Z,-11.79797979797981,-5.521311313387279
2021-03-24T00:00:00.000Z,-16.063521148266897,-3.958355696550779
2021-03-25T00:00:00.000Z,-7.349463343641993,-9.08028003371809
2021-03-26T00:00:00.000Z,-11.05438837620263,-5.916996364445898
2021-03-27T00:00:00.000Z,-2.604856512141263,-26.26170463867221
2021-03-28T00:00:00.000Z,-12.352674524025389,-5.257125301712225
2021-03-29T00:00:00.000Z,-15.90380139643135,-4.001800698139214
2021-03-30T00:00:00.000Z,-7.533825338253386,-8.849370393100658
2021-03-31T00:00:00.000Z,0.4655803126039304,149.2244175664498
2021-04-01T00:00:00.000Z,-16.84872558755379,-3.756719082220466
2021-04-02T00:00:00.000Z,-4.060509554140124,-16.72148029937048
2021-04-03T00:00:00.000Z,-4.4398340248962604,-15.26280986724716
2021-04-04T00:00:00.000Z,2.909248805905329,24.17055829190877
2021-04-05T00:00:00.000Z,0.7172995780590831,96.97903238383262
2021-04-06T00:00:00.000Z,-5.781315458734815,-11.6394238748455
2021-04-07T00:00:00.000Z,-9.604268563806128,-6.864669079492743
2021-04-08T00:00:00.000Z,-6.0009837678307925,-11.20041113446044
2021-04-09T00:00:00.000Z,-10.20408163265306,-6.440052988255302
2021-04-10T00:00:00.000Z,-2.214452214452212,-30.95320034429239
2021-04-11T00:00:00.000Z,-3.396901072705605,-20.05671037977426
2021-04-12T00:00:00.000Z,-9.808760024676133,-6.714077923587648
2021-04-13T00:00:00.000Z,-7.25034199726402,-9.209279067831313
2021-04-14T00:00:00.000Z,-5.899705014749268,-11.39875887082085
2021-04-15T00:00:00.000Z,-9.169278996865193,-7.207323419991339
