priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
UpToNow,הונדורס,כתום,2,74,0,0,
UpToNow,סט וינסנט,כתום,2,9,1,11.11,
UpToNow,יפן,כתום,2,654,3,0.46,
UpToNow,פיליפינים,כתום,2,1557,18,1.16,
UpToNow,בהמס,כתום,2,43,0,0,
UpToNow,לטביה,כתום,2,2284,3,0.13,
UpToNow,בוליביה,כתום,2,87,0,0,
UpToNow,טג'יקיסטאן,כתום,2,70,0,0,
UpToNow,טונגה,כתום,2,2,0,0,
UpToNow,ברמודה,כתום,2,6,0,0,
UpToNow,זאיר,כתום,2,157,1,0.64,
UpToNow,ספרד,כתום,2,23144,195,0.84,
UpToNow,איי פיגי,כתום,2,4,0,0,
UpToNow,מאלי,כתום,2,164,7,4.27,
